gender,age,attendance,study_hours,sleep_hours,social_media_hours,physical_activity,mental_health,internet_quality,motivation_level,parental_education,family_income,part_time_job,previous_scores,exam_score
Male,20.0,84.0,23.0,7.0,2.5,3,5.0,Good,Low,High School,Low,No,73.0,67.0
Female,20.0,64.0,19.0,8.0,2.5,4,5.0,Good,Low,College,Medium,No,59.0,61.0
Male,20.0,98.0,24.0,7.0,2.5,4,5.0,Good,Medium,Postgraduate,Medium,No,91.0,74.0
Male,20.0,89.0,29.0,8.0,2.5,4,5.0,Good,Medium,High School,Medium,No,98.0,71.0
Female,20.0,92.0,19.0,6.0,2.5,4,5.0,Good,Medium,College,Medium,No,65.0,70.0
Male,20.0,88.0,19.0,8.0,2.5,3,5.0,Good,Medium,Postgraduate,Medium,No,89.0,71.0
Male,20.0,84.0,29.0,7.0,2.5,2,5.0,Good,Low,High School,Low,No,68.0,67.0
Male,20.0,78.0,25.0,6.0,2.5,2,5.0,Good,Medium,High School,High,No,50.0,66.0
Male,20.0,94.0,17.0,6.0,2.5,1,5.0,Good,High,College,Medium,No,80.0,69.0
Male,20.0,98.0,23.0,8.0,2.5,5,5.0,Good,Medium,High School,High,No,71.0,72.0
Male,20.0,80.0,17.0,8.0,2.5,4,5.0,Good,Medium,College,Medium,No,88.0,68.0
Male,20.0,97.0,17.0,6.0,2.5,2,5.0,Good,Low,High School,Low,No,87.0,71.0
Male,20.0,83.0,21.0,8.0,2.5,4,5.0,Good,Low,High School,Medium,No,97.0,70.0
Male,20.0,82.0,9.0,8.0,2.5,3,5.0,Good,Medium,Postgraduate,Medium,No,72.0,66.0
Male,20.0,78.0,10.0,8.0,2.5,4,5.0,Good,Medium,Postgraduate,Low,No,74.0,65.0
Female,20.0,68.0,17.0,8.0,2.5,4,5.0,Good,Medium,High School,Medium,No,70.0,64.0
Male,20.0,60.0,14.0,10.0,2.5,3,5.0,Good,Low,College,High,No,65.0,60.0
Female,20.0,70.0,22.0,6.0,2.5,3,5.0,Good,Medium,High School,Low,No,82.0,65.0
Female,20.0,80.0,15.0,9.0,2.5,2,5.0,Good,Low,College,Low,No,91.0,67.0
Male,20.0,75.0,12.0,7.0,2.5,4,5.0,Good,Medium,College,Medium,No,58.0,66.0
Female,20.0,78.0,29.0,5.0,2.5,1,5.0,Good,High,High School,High,No,99.0,69.0
Male,20.0,99.0,19.0,6.0,2.5,3,5.0,Good,Medium,High School,Medium,No,84.0,72.0
Female,20.0,74.0,20.0,8.0,2.5,2,5.0,Good,Low,College,Medium,No,89.0,66.0
Male,20.0,78.0,11.0,8.0,2.5,3,5.0,Good,High,High School,Low,No,100.0,66.0
Female,20.0,65.0,17.0,5.0,2.5,3,5.0,Good,Medium,High School,Low,No,75.0,63.0
Male,20.0,62.0,21.0,6.0,2.5,3,5.0,Good,High,Postgraduate,High,No,54.0,64.0
Female,20.0,91.0,13.0,6.0,2.5,2,5.0,Good,Medium,High School,High,No,90.0,65.0
Male,20.0,83.0,22.0,6.0,2.5,2,5.0,Good,Medium,College,High,No,94.0,71.0
Female,20.0,90.0,16.0,4.0,2.5,3,5.0,Good,Medium,High School,Low,No,58.0,66.0
Male,20.0,66.0,18.0,4.0,2.5,2,5.0,Good,Low,College,Low,No,51.0,64.0
Female,20.0,83.0,16.0,6.0,2.5,4,5.0,Good,Medium,High School,High,No,57.0,63.0
Male,20.0,70.0,31.0,7.0,2.5,3,5.0,Good,Medium,College,High,No,66.0,69.0
Male,20.0,69.0,20.0,8.0,2.5,3,5.0,Good,Medium,High School,Medium,No,96.0,67.0
Female,20.0,60.0,14.0,5.0,2.5,3,5.0,Good,Medium,College,Medium,No,50.0,61.0
Female,20.0,65.0,25.0,5.0,2.5,3,5.0,Good,Medium,College,Medium,No,90.0,68.0
Male,20.0,72.0,13.0,6.0,2.5,3,5.0,Good,Low,High School,Low,No,93.0,61.0
Female,20.0,65.0,21.0,7.0,2.5,3,5.0,Good,Low,High School,Medium,No,91.0,64.0
Female,20.0,99.0,8.0,9.0,2.5,5,5.0,Good,Low,Postgraduate,Low,No,54.0,67.0
Female,20.0,72.0,12.0,8.0,2.5,5,5.0,Good,Medium,High School,Low,No,84.0,63.0
Male,20.0,65.0,21.0,6.0,2.5,4,5.0,Good,Low,High School,Medium,No,98.0,64.0
Male,20.0,68.0,24.0,8.0,2.5,1,5.0,Good,Low,College,High,No,56.0,67.0
Female,20.0,84.0,21.0,6.0,2.5,2,5.0,Good,Low,College,Medium,No,52.0,65.0
Male,20.0,63.0,19.0,7.0,2.5,3,5.0,Good,Medium,High School,Medium,No,94.0,64.0
Male,20.0,94.0,18.0,7.0,2.5,2,5.0,Good,Medium,College,Medium,No,82.0,70.0
Male,20.0,98.0,11.0,9.0,2.5,3,5.0,Good,Low,Postgraduate,Medium,No,82.0,68.0
Male,20.0,70.0,16.0,8.0,2.5,3,5.0,Good,Medium,High School,Medium,No,98.0,65.0
Female,20.0,78.0,17.0,6.0,2.5,3,5.0,Good,Medium,College,Medium,No,88.0,68.0
Female,20.0,61.0,26.0,6.0,2.5,3,5.0,Good,Medium,High School,Low,No,70.0,64.0
Male,20.0,86.0,22.0,7.0,2.5,2,5.0,Good,Low,High School,Low,No,72.0,68.0
Male,20.0,77.0,9.0,5.0,2.5,3,5.0,Good,Medium,High School,Medium,No,57.0,63.0
Male,20.0,71.0,22.0,7.0,2.5,4,5.0,Good,Low,College,Medium,No,65.0,64.0
Male,20.0,68.0,18.0,7.0,2.5,3,5.0,Good,Medium,College,Medium,No,72.0,64.0
Male,20.0,86.0,16.0,8.0,2.5,4,5.0,Good,Medium,High School,Medium,No,63.0,67.0
Female,20.0,77.0,24.0,8.0,2.5,3,5.0,Good,Medium,High School,Medium,No,96.0,67.0
Female,20.0,67.0,26.0,7.0,2.5,4,5.0,Good,Low,Postgraduate,High,No,51.0,66.0
Male,20.0,88.0,26.0,5.0,2.5,4,5.0,Good,Medium,College,Low,No,79.0,72.0
Female,20.0,83.0,15.0,5.0,2.5,2,5.0,Good,Low,High School,Medium,No,89.0,65.0
Male,20.0,94.0,18.0,6.0,2.5,4,5.0,Good,High,High School,Medium,No,87.0,71.0
Female,20.0,65.0,22.0,8.0,2.5,1,5.0,Good,Medium,Postgraduate,Medium,No,82.0,66.0
Male,20.0,91.0,26.0,8.0,2.5,3,5.0,Good,Medium,High School,Low,No,71.0,68.0
Female,20.0,87.0,17.0,7.0,2.5,5,5.0,Good,Medium,Postgraduate,High,No,96.0,70.0
Male,20.0,65.0,19.0,10.0,2.5,3,5.0,Good,Low,High School,Low,No,66.0,62.0
Male,20.0,88.0,13.0,9.0,2.5,4,5.0,Good,High,Postgraduate,Low,No,88.0,68.0
Male,20.0,78.0,13.0,9.0,2.5,3,5.0,Good,High,College,Low,No,96.0,67.0
Male,20.0,98.0,25.0,8.0,2.5,3,5.0,Good,Medium,Postgraduate,Medium,No,56.0,71.0
Male,20.0,66.0,28.0,8.0,2.5,2,5.0,Good,Medium,High School,Medium,No,97.0,68.0
Male,20.0,86.0,20.0,8.0,2.5,3,5.0,Good,Medium,Postgraduate,Low,No,89.0,69.0
Male,20.0,75.0,26.0,4.0,2.5,2,5.0,Good,High,High School,Medium,No,81.0,70.0
Female,20.0,98.0,22.0,5.0,2.5,4,5.0,Good,Low,High School,Low,No,69.0,69.0
Male,20.0,73.0,16.0,7.0,2.5,4,5.0,Good,Medium,College,Low,No,95.0,65.0
Female,20.0,98.0,22.0,7.0,2.5,3,5.0,Good,Medium,College,Medium,No,52.0,70.0
Male,20.0,96.0,29.0,7.0,2.5,3,5.0,Good,Medium,High School,Low,No,72.0,71.0
Female,20.0,71.0,20.0,7.0,2.5,4,5.0,Good,Medium,College,Low,No,88.0,65.0
Female,20.0,92.0,29.0,4.0,2.5,1,5.0,Good,Medium,Postgraduate,Medium,No,91.0,72.0
Male,20.0,100.0,4.0,8.0,2.5,4,5.0,Good,High,College,Medium,No,60.0,69.0
Female,20.0,70.0,25.0,7.0,2.5,3,5.0,Good,Medium,Postgraduate,Medium,No,52.0,66.0
